"","OTU","Sample","Abundance","sample_number","alt_sample_name","sample_name","date","ncbi_name_16s","ncbi_name_18s","bio_rep","fi_best","location","sample_type","latitude","longitude","elevation_m","ysi_temp","ysi_mmhg","ysi_do_percent","ysi_do","ysi_spc","ysi_conductivity","ysi_tds","ysi_ph","ysi_orp","alkalinity_caco3","anions","bicarbonate_hco3","bromide","calcium","carbonate_co3_alkalinity","cations","chloride","fluoride","hardness","iron","magnesium","nitrate_no3","nitrite_no2","orthophosphate","percent_difference","ph","potassium","silicon","sio2","sodium","spc","strontium","sulfate","tds","d2h","d2h_unc","d18o","d18o_unc","notes","dist_from_summit","aspect","bio_data","d13c..of.DIC.","quadrant","region","order","chemistry","geo_symbol","geo1","geo2","geo3","geo4","geo5","unit_notes","primary_source","Kingdom","Phylum","Class","Order"
"107","Bacteria_unclassified","JM1713_Rubideau",0,20,"Rubideau Spring","Rubideau Spring","8/12/17","JM1713_Rubideau","JM1713_Rubideau",0,0.66,"Glacier National Park","Spring",48.50947611,-114.0241443,1182.62,5.6,674.5,94,11.73,209.2,131.6,135.85,7.43,226,117,2.4,143,0.009,29.4,0,2.25,0.087,0.046,NA,NA,8.94,0.244,0.01,0.025,-3.33,7.7,0.18,2.59,5.53,0.83,216,0.04,2.12,119,-125.5,0.13,-17.08,0.09,"Spring location given by fire chief. On google maps as Rubideau Spring. Big cement structure like Mt. hood crystal spring surrouing the spring. It may be treated? Pipe like flow discharging water into fast flowing channel. Piped flow lovings remaier of water to location down in elevation.",NA,"",1,-10.3,"","Outlier",108,1,"Qg","Till","---","Holocene and upper Pleistocene","Quaternary","upper Pleistocene","unit also locally includes small areas of bedrock and colluvium; on valley floors in mountainous areas, unit deposited by local mountain glaciers as ground moraine usually 1-3 m thick","Glacier Meltwater","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"108","Bacteria_unclassified","JM1736_Funky_Spring",0,5,"Funky Spring","Gould Spring","8/9/17","JM1736_Funky_Spring","",0,0.54,"Glacier National Park","Spring",48.73812618,-113.7269936,2151.58,2.5,602.4,79.5,10.83,106.2,60.6,68.9,7.81,138,58,1.19,70,0.008,17.4,0,1.1,0.063,0.008,NA,NA,2.66,0.404,0.011,0.03,-4.12,7.6,0.07,0.79,1.7,0.19,108,0.01,1.24,59,-126.6,0.41,-16.77,0.41,"Hiked over from drainage at weeping wall all the way up to highline trail. Wlked north on the trail a fou a spring on this massive, blocky chunk on the backside of the mountain holding grinnell glacier. Seems to be a lot of loose rok a colluvium. It flattens out on top. Emergence is from uer a big rock but none of these rocks seem in place. Flowers surrouing emergence a a fair amount of insects/grass hoppers/ flies, etc. The rock here seems very metamorphized compared to rock in place earlier on trail. Weird.",NA,"",1,-6.7,"","Haystack Butte Region",93,1,"Yh","Helena Formation","Belt Supergroup","Middle Proterozoic","Middle Proterozoic","Middle Proterozoic","thickness ranges from 750 m in most of park to a maximum of about 1,030 m in southwestern part; generally subdivisible into three parts at most exposures in park","Precipitation","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"109","Bacteria_unclassified","JM1754_Reynolds_2",0,19,"Reynolds 2 Spring","Reynolds 2 Spring","8/6/17","JM1754_Reynolds_2","",0,0.6,"Glacier National Park","Spring",48.681946,-113.7327076,2183.28,1.4,699.5,76,10.42,22.4,12.6,14.3,7.52,204.1,13,0.29,16,0.006,2.47,0,0.22,0.047,0.007,NA,NA,1.01,0.016,0.01,0.034,-14.03,6.8,0.12,0.93,2,0.28,23,0.007,1.67,16,-127.1,0.43,-17.23,0.05,"This is where we sampled. Emergence seems to be from a grey colored siltstone, not out of the maroon layer. Flow is fast. I think still snowmelt driven. Noah sampled lower downstream a it had the same YSI readings as Reynolds 1. Emergence from rock not moss.",NA,"",1,-12.1,"","Clements/Reynolds Region",107,1,"Ysn","Snowslip Formation","Belt Supergroup","Middle Proterozoic","Middle Proterozoic","Middle Proterozoic","at type section at Snowslip Mountain in southern part of park, the Snowslip is informally subdivided into six members designated 1 through 6 in ascending order; members are not mapped separately but can be recognized in exposures throughout park","Precipitation","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"110","Bacteria_unclassified","JM1730_Crack_Spring",0,3,"Crack Spring","Grinnell Spring","8/8/17","JM1730_Crack_Spring","JM1730_Crack_Spring",1,0.71,"Glacier National Park","Spring",48.77017057,-113.7161256,1844.04,3.9,624.3,78.1,10.27,68.4,40.9,44.85,7.63,184.4,39,0.8,47,0.008,8.72,0,0.71,0.043,0.023,NA,NA,3.14,0.141,0.01,0.053,-6.24,7.1,0.11,0.8,1.72,0.33,72,0.034,1.17,39,-129.3,0.56,-17.55,0.11,"Emergence on Grinnell Glacier trail. Coming from fracture in rock. Flow is strong enough to gravity pump a filter. Thick moss at base of emergence. Emergence 10 ft up from intersection w trail. Noah fell down on the down climb. Flowers (ran into hortoculturalist): Coreopsis - yellow daisy, iian paintbrush - salmon colored one, purple daisy, white ball one.",NA,"",1,-7.9,"","Grinnell Region",91,1,"Ygl","Grinnell Formation","Belt Supergroup","Middle Proterozoic","Middle Proterozoic","Middle Proterozoic","thickness ranges from 530 to 790 m","Glacier Meltwater","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"112","Bacteria_unclassified","JM1782_Piegan_North",0,18,"Piegan North Spring","Piegan North Spring","8/11/17","JM1782_Piegan_North","",2,0.61,"Glacier National Park","Spring",48.71661358,-113.6941217,2389.02,2.1,584,77,10.59,23.3,13.1,14.95,7.73,149.1,26,0.53,31,0.004,6.03,0,0.44,0.052,0.005,NA,NA,1.54,0.011,0.009,0.033,-8.85,7.2,0.13,1.31,2.8,0.3,46,0.008,0.597,27,-125.2,0.17,-16.88,0.06,"Hiked up Lunch Creek over the ridge a then located the spring down in the drainage. Checked out Piegan glacier but it was too steep to access. Went down into the drainage a the whole area is ki of hummocky a lumpy a there's a bunch of moss. There was a clean emergence through. This side of the mtn (NE of piegan glacier) is more eroded into tallus slope. There are some units of bedrock poking through through. There are a few patches of snow still up on the tallus. Grass a small flowers. pika a flies a grasshoppers.",NA,"",1,-10.8,"","Piegan Region",106,1,"Yh","Helena Formation","Belt Supergroup","Middle Proterozoic","Middle Proterozoic","Middle Proterozoic","thickness ranges from 750 m in most of park to a maximum of about 1,030 m in southwestern part; generally subdivisible into three parts at most exposures in park","Glacier Meltwater","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"113","Bacteria_unclassified","JM1766_James_Spring",0,28,"James Spring 2","James Spring","7/25/17","JM1766_James_Spring","JM1766_James_Spring",2,0.04,"Mount Hood","Spring",45.33993416,-121.9403534,547.73,10.7,725.9,87.3,9.67,23.9,17.4,15.6,6.91,221.2,12,0.29,14,0.011,1.54,0,0.21,1.56,0.006,NA,NA,0.34,0.011,0.01,0.039,-16.58,6.5,0.41,6.76,14.5,2.11,22,0.018,0.276,28,-68.9,NA,-9.9,0.11,"",19508.7,"S",1,NA,"SW","Outlier",28,1,"Trh","Rhododendron Formation","Late Western Cascade Volcanics","Rhododendron Formation","Miocene","mudflow breccia","","Precipitation","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"114","Bacteria_unclassified","JM1731_Palmer_Seep",0,35,"Palmer Seep","Palmer Seep","7/27/17","JM1731_Palmer_Seep","",1,0.47,"Mount Hood","Spring",45.33579912,-121.7067202,1859.89,3.7,623.8,80.2,10.49,49.7,29.4,32.5,6.41,223,14,0.54,17,0.008,2.5,0,0.46,8.14,0.001,NA,NA,0.49,0.017,NA,NA,-8.1,6.7,0.9,8.83,18.9,6.16,53,0.016,1.54,47,-89.1,0.08,-12.74,0.01,"Fou a lot of greeen patches down slope from Palmer glacier on sat imagery. Upon investigation they do not have springs here. We sampled one that emerged from below a ridge of a moraine. It emerges from beneath a rock a then goes back uer the rock a emerges a bit downslope. There is a cement pool to catch all of this water. At the weir of this pool. There are strong trees/bushes here at the emergence, while next to the emergence there are no trees or vegetation like this. Just small flowers very close to the grou. There are snow patches arou but this spring is above them. They're in the valley a creating a small creek. ",4284.3,"S",1,-13.2,"SW","Palmer Region",35,1,"Qhtc","Pyroclastic flow and debris-flow deposits","Late High Cascade Volcanics","Mt. Hood Volcano","Quaternary","intermediate composition lithologies","","Precipitation","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"115","Bacteria_unclassified","JM1785_Choss_Seep",0,22,"Choss Seep 2","Choss Seep","7/26/17","JM1785_Choss_Seep","JM1785_Choss_Seep",2,0.32,"Mount Hood","Spring",45.29518554,-121.7341202,1178.97,13.4,673.8,70.8,7.39,53.3,41.4,34.45,6.56,224.8,14,0.54,17,0.012,3.84,0,0.45,6.95,0.043,NA,NA,1.05,0.013,0.014,0.035,-8.72,6.8,0.57,6.65,14.2,3.64,53,0.047,2.83,42,-79.3,0.2,-11.44,0.15,"Side of road seeps coming from very chossy rock face, likely blown out by dynomite. Water is not coming from above. Moss growing from seeps, forming small channel alongside the road. The bedding of the outcrop is not parallel to the grou. We sampled from a seep that had the most consistent flow.",9212.9,"S",1,NA,"SW","Outlier",22,1,"Qha","Andesite and dacite lava","Late High Cascade Volcanics","Mt. Hood Volcano","Quaternary","andesite","","Precipitation","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"116","Bacteria_unclassified","MtH20_D07_S280",0,60,"Warm Spring 1","JM-WS1","9/15/19","MtH20_D07_S280","MtH20_E05",0,0.69,"Mount Hood","Spring",45.29596599,-121.7395742,1164.6408,23.5,660.4,20.1,1.52,683,664,NA,7.45,224.6,120,8.02,147,0.174,38.7,NA,7.89,76.3,0.2,224,NA,30.8,NA,NA,NA,-0.77,8,7.41,41.3,88.5,74.4,787,0.249,165,555,-97.42,0.82,-13.525,0.104,"First warm spring. Entered Still Creek Campgrou. Drove down along campgrou road until a picnic area was seen. This is Barlow Road/Trail. Take the trail a go to the old swimming pool fouation. Hang a left a you'll fi a stream. This is MS-7 on the Wollenberg 1979 paper.",9279.6,"",1,-8.6,"SW","Warm Springs",60,1,"Qhpc","Pyroclastic flow and debris-flow deposits","Late High Cascade Volcanics","Mt. Hood Volcano","Quaternary","intermediate composition lithologies","","Glacier Meltwater","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"117","Bacteria_unclassified","JM1727_Zigzag_Spring",0,40,"Zigzag Spring","Zigzag Spring","7/29/17","JM1727_Zigzag_Spring","JM1727_Zigzag_Spring",0,0.34,"Mount Hood","Spring",45.3457741,-121.7390436,1571.55,3.3,644.3,84.6,11.29,29.7,17.3,19.5,6.78,243.6,13,0.34,16,0.009,1.75,0,0.26,0.72,0.012,NA,NA,0.64,0.015,NA,0.036,-11.91,6.8,0.59,11.5,24.6,2.52,29,0.009,2.36,41,-86.3,NA,-12.38,0.1,"Discharge done 2 m from source where the stream channelized. Hiked to zigzag canyon. Back where it gets tighter the flow channelizes a bit more. There are many seeps in the walls of the canyon. Two larger seeps/spring pop out at higher elevation on the western wall. On the eastern wall there is exposed rock with water flowing from the fractures. There is a spring discharging above this from a good emergence. There are lots of flowers surrouing the emergence too. Small gnats a flies a dragonflies. Below this spring is a conceptual model of small scale scale model of what I think may be happening on a larger scale in some locations.",4575.8,"S",1,-17.2,"SW","Zigzag Region",40,1,"Qhpc","Pyroclastic flow and debris-flow deposits","Late High Cascade Volcanics","Mt. Hood Volcano","Quaternary","intermediate composition lithologies","","Precipitation","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"118","Bacteria_unclassified","JM1733_Camp_Creek",0,20,"Camp Creek Spring","Camp Creek Spring","7/27/17","JM1733_Camp_Creek","JM1733_Camp_Creek",0,0.39,"Mount Hood","Spring",45.31425513,-121.7377782,1369.47,2.9,660.6,83.7,11.22,60.6,35.1,39.65,6.53,196.2,18,0.65,22,NA,4.79,0,0.56,8.97,0.016,NA,NA,0.84,0.045,0.013,0.042,-7.94,6.8,1.02,16.7,35.7,5.08,65,0.032,1.79,69,-85,0.29,-12.01,0.23,"This is the source of water for Gov't Camp. There are a few spring emergences in one region (fenced). Greg Wanner showed us this one. There seems to be maybe a contact here causing these springs to pop out. The flow is a lot. There are also pipes bringing this additional flow from the other spring emergences within this zone into one area where there is a spring box that runs to the pipes for gov't camp. Trees, bushes, thorny plants, salmon berries, huckelberries.",7363.5,"S",1,-11.9,"SW","Palmer Region",20,1,"Qhpc","Pyroclastic flow and debris-flow deposits","Late High Cascade Volcanics","Mt. Hood Volcano","Quaternary","intermediate composition lithologies","","Precipitation","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"119","Bacteria_unclassified","JM179_Weeping_Wall",0,22,"Weeping Wall","Weeping Wall Spring","8/9/17","JM179_Weeping_Wall","JM179_Weeping_Wall",1,0.71,"Glacier National Park","Spring",48.72822939,-113.7292596,1853.49,4,623.7,80.6,10.55,135.6,81.2,88.4,7.58,263.1,74,1.53,90,0.011,22.4,0,1.41,0.101,0.009,NA,NA,3.31,0.056,0.011,0.029,-3.96,7.6,0.11,0.94,2.01,0.43,141,0.013,2.12,76,-127.4,0.35,-17.09,0.1,"Took small drainage up to black cliffline. Don’t climb above cliffs, just follow along bottom. Thick vegetation. There are a few spring runs to the east of this emergence. Emerges out of fractured rock, along a bedding layer. Rather steep here - a bit scary. Loose rock too. Small flies are the only insect I saw. Lots of flowers surrouing the spring.",NA,"",1,-7.6,"","Haystack Butte Region",110,1,"Yh","Helena Formation","Belt Supergroup","Middle Proterozoic","Middle Proterozoic","Middle Proterozoic","thickness ranges from 750 m in most of park to a maximum of about 1,030 m in southwestern part; generally subdivisible into three parts at most exposures in park","Glacier Meltwater","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"120","Bacteria_unclassified","JM1728_Coe_Spring_B",0,23,"Coe Spring B","Coe Spring B","7/26/17","JM1728_Coe_Spring_B","JM1728_Coe_Spring_B",0,0.11,"Mount Hood","Spring",45.45241077,-121.6529396,939.39,7.4,694.1,86.8,10.3,60.1,39.7,39,6.89,251.7,34,0.72,42,0.023,5.66,0,0.62,0.989,0.141,NA,NA,1.19,0.042,0.012,0.049,-7.43,7.2,1.91,23.3,49.8,4.47,66,0.059,0.233,85,-81.3,0.04,-11.33,0,"Fou a spring just above the discharge center/structure. Small flow a possibly connect to the stream we prevously sampled. Comes from a hole a there are other holes arou where it looks like flow used to emerge from as well. Lots of thorny shrubs. Lots of down trees. Right alongside the Coe River",9385.2,"N",1,NA,"NE","Coe Region",23,1,"Qget","Till of Evans Creek age","Quaternary surficial deposits","Glacial deposits","Quaternary","mixed grained sediments","","Precipitation","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"122","Bacteria_unclassified","JM178_W_Fork_Salmon_Spring",0,39,"West Fork Salmon Spring","West Fork Salmon Spring","7/27/17","JM178_W_Fork_Salmon_Spring","JM178_W._Fork_Salmon_Spring",0,0.34,"Mount Hood","Spring",45.31710064,-121.7184752,1536.5,2.9,646.1,80.8,10.87,52.4,30.7,34.45,5.82,276,19,0.53,23,0.008,3.87,0,0.44,4.58,0.006,NA,NA,0.71,0.027,0.017,0.039,-8.82,6.8,1.06,11.7,25.1,3.74,49,0.031,0.884,52,-85.5,0.03,-12.28,0.05,"Tried to fi rocks. No luck. Soil layer too thick here. Spring emerges from uer a tree. Part of a spring complex of west fork salmon creek. Spring shown by greg. Caddisfly fou here. Flow is strong a cold. Vegetation is moss, lots of tree branches down. Infinity pool looking. Filter very clean. Lots of bright green vegetation. Riparian in nature.",6521.6,"S",1,-10.9,"SW","Palmer Region",39,1,"Qhpc","Pyroclastic flow and debris-flow deposits","Late High Cascade Volcanics","Mt. Hood Volcano","Quaternary","intermediate composition lithologies","","Precipitation","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"123","Bacteria_unclassified","JM1762_Mtn_Goat",0,16,"Mountain Goat Spring","Mountain Goat Spring","8/7/17","JM1762_Mtn_Goat","JM1762_Mtn_Goat",2,0.84,"Glacier National Park","Spring",48.70084077,-113.6910636,2268.32,0.4,593.4,76.6,11.06,8.1,4.3,5.2,7.21,151.9,8,0.17,10,0.011,1.02,0,0.07,0.039,0.003,NA,NA,0.25,0.021,0.016,0.024,-40.16,7,0.02,0.08,0.17,0.03,9,0.002,0.433,7,-129.3,0.09,-17.4,0.07,"Hiked up lunch creek a then traversed across the topo line. Huge spring coming out of a rock face/cliff. Massive flow. Limestone rock here. Elizabeth Garrits helped us get here. Above tree line. Small brush here a there. Shrubby cinfoil (yellow), aster (purple), fire weed, sulfur buck wheat (yellow)",NA,"",1,-15.9,"","Piegan Region",104,1,"Ysn","Snowslip Formation","Belt Supergroup","Middle Proterozoic","Middle Proterozoic","Middle Proterozoic","at type section at Snowslip Mountain in southern part of park, the Snowslip is informally subdivided into six members designated 1 through 6 in ascending order; members are not mapped separately but can be recognized in exposures throughout park","Glacier Meltwater","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"124","Bacteria_unclassified","JM1774_Crack_Spring",0,3,"Crack Spring","Grinnell Spring","8/8/17","JM1774_Crack_Spring","JM1774_Crack_Spring",2,0.71,"Glacier National Park","Spring",48.77017057,-113.7161256,1844.04,3.9,624.3,78.1,10.27,68.4,40.9,44.85,7.63,184.4,39,0.8,47,0.008,8.72,0,0.71,0.043,0.023,NA,NA,3.14,0.141,0.01,0.053,-6.24,7.1,0.11,0.8,1.72,0.33,72,0.034,1.17,39,-129.3,0.56,-17.55,0.11,"Emergence on Grinnell Glacier trail. Coming from fracture in rock. Flow is strong enough to gravity pump a filter. Thick moss at base of emergence. Emergence 10 ft up from intersection w trail. Noah fell down on the down climb. Flowers (ran into hortoculturalist): Coreopsis - yellow daisy, iian paintbrush - salmon colored one, purple daisy, white ball one.",NA,"",1,-7.9,"","Grinnell Region",91,1,"Ygl","Grinnell Formation","Belt Supergroup","Middle Proterozoic","Middle Proterozoic","Middle Proterozoic","thickness ranges from 530 to 790 m","Glacier Meltwater","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"125","Bacteria_unclassified","JM1761_Elizabeth_Spring",0,4,"Elizabeth Spring","Piegan Spring","8/7/17","JM1761_Elizabeth_Spring","",3,0.99,"Glacier National Park","Spring",48.70314771,-113.6939869,2368.3,0.5,586.4,75.6,10.92,19.4,10.4,12.35,7.32,189.9,11,0.26,13,0.018,2.19,0,0.19,0.046,0.004,NA,NA,0.82,0.018,0.011,0.03,-15.7,6.6,0.07,0.45,0.96,0.19,20,0.006,1.97,13,-135,0.42,-18.21,0.16,"Another spring, but closer to lunch creek. Massive emergence. Flowing out from layered stromatelite a limestone/dolostone bedding. Emergence is large enough for me to crawl into. Water is cold a there is vegetation like mosses growing within the karst like emergence/tunnel. Same flowers as last spring. Gnats flying arou. Rare bird that is going extinct was seen. Saw a grou squirrel too. YSI downstream is essentially the same. Fou an ooid rock sample within the karst emergence.",NA,"",1,-16,"","Piegan Region",92,1,"Ysn","Snowslip Formation","Belt Supergroup","Middle Proterozoic","Middle Proterozoic","Middle Proterozoic","at type section at Snowslip Mountain in southern part of park, the Snowslip is informally subdivided into six members designated 1 through 6 in ascending order; members are not mapped separately but can be recognized in exposures throughout park","Glacier Meltwater","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"127","Bacteria_unclassified","JM1776_Buzzard_Fountain",0,19,"Buzzard Fountain 2","Buzzard Fountain Spring","7/26/17","JM1776_Buzzard_Fountain","JM1776_Buzzard_Fountain",2,0.5,"Mount Hood","Spring",45.27743485,-121.6933848,1245.41,8.5,668.5,81.6,9.53,31,21.2,20.15,6.98,183,28,0.59,34,0.001,2.73,0,0.33,0.712,0.007,NA,NA,0.7,0.048,0.012,0.117,-27.84,7,1.44,15,32.1,2.37,29,0.034,0.293,58,-83.9,NA,-12.04,0.04,"Lots of flow coming directly from fountain. It is piped through. Fills up a pool. Note on tree saying ""water not treated"". People came a drank from it anyway. Lots of moss growing. Filtered from the ""source"". It looks like the emergence used to be to the right, but then after the spring box was built the flow preferentially went there. That is where the rocks were taken from, the paleoemergence.",10689.6,"S",1,NA,"SE","Outlier",19,1,"Trbg","Rocks of Barlow Ridge and Gunsight Butte","Early High Cascade Volcanics","No data","Miocene","mixed lithologies","","Precipitation","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"128","Bacteria_unclassified","MtH11_C10_S260",0,84,"Tilly Jane Headwaters","Tilly Jane Headwaters","9/20/19","MtH11_C10_S260","MtH11_D08",0,0.76,"Mount Hood","Spring",45.39310973,-121.6590125,1926.0312,6,606.1,69.4,6.86,35.2,22.4,NA,8.05,226.4,13,0.29,16,0.011,1.23,NA,0.15,NA,NA,3.99,NA,0.226,NA,NA,NA,-31.62,6.7,0.489,9.23,19.7,1.36,16,0.011,NA,32,-96.93,0.66,-13.181,0.149,"Sampled headwaters of the main tilly jane stream. It is very close to Eliot Spring. The channel is lined by moss in the riperian zone a there are small pine trees in the emergence.",3618.4,"",1,-15.5,"NE","Eliot Region",84,1,"Qhpc","Pyroclastic flow and debris-flow deposits","Late High Cascade Volcanics","Mt. Hood Volcano","Quaternary","intermediate composition lithologies","","Glacier Meltwater","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"129","Bacteria_unclassified","MtH25_D12_S290",0,64,"Meadows Spring","JM-Meadows1","9/16/19","MtH25_D12_S290","MtH25_E10",0,0.53,"Mount Hood","Spring",45.33607449,-121.6711186,1699.26,6.3,616.4,93,9.3,363.1,233.6,NA,7.63,186.6,90,3.69,110,0.058,24.9,NA,3.54,43.4,NA,119,NA,13.7,NA,NA,NA,-2.09,7.8,3.61,23.4,50,24.8,364,0.167,31.1,247,-93.21,0.34,-13.029,0.144,"Hiked up from Meadows Ski Area. Several streams drain into the meadow's catchment. Followed one up a to the left. Spring is emerging from base of rock. The flow is strong. Seems to be flowing uer soil/root coverage. Caelum sawa a rodent from a nearby hole. Caddisfly was also spotted.",4603.8,"",1,-5.4,"SE","Warm Springs",64,1,"Qha","Andesite and dacite lava","Late High Cascade Volcanics","Mt. Hood Volcano","Quaternary","andesite","","Precipitation","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"130","Bacteria_unclassified","JM177_Piegan_North",0,18,"Piegan North Spring","Piegan North Spring","8/11/17","JM177_Piegan_North","JM177_Piegan_North",1,0.61,"Glacier National Park","Spring",48.71661358,-113.6941217,2389.02,2.1,584,77,10.59,23.3,13.1,14.95,7.73,149.1,26,0.53,31,0.004,6.03,0,0.44,0.052,0.005,NA,NA,1.54,0.011,0.009,0.033,-8.85,7.2,0.13,1.31,2.8,0.3,46,0.008,0.597,27,-125.2,0.17,-16.88,0.06,"Hiked up Lunch Creek over the ridge a then located the spring down in the drainage. Checked out Piegan glacier but it was too steep to access. Went down into the drainage a the whole area is ki of hummocky a lumpy a there's a bunch of moss. There was a clean emergence through. This side of the mtn (NE of piegan glacier) is more eroded into tallus slope. There are some units of bedrock poking through through. There are a few patches of snow still up on the tallus. Grass a small flowers. pika a flies a grasshoppers.",NA,"",1,-10.8,"","Piegan Region",106,1,"Yh","Helena Formation","Belt Supergroup","Middle Proterozoic","Middle Proterozoic","Middle Proterozoic","thickness ranges from 750 m in most of park to a maximum of about 1,030 m in southwestern part; generally subdivisible into three parts at most exposures in park","Glacier Meltwater","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"131","Bacteria_unclassified","JM1778_Paradise_Park_Spring",0,36,"Paradise Park Spring 3","Paradise Park Spring","7/29/17","JM1778_Paradise_Park_Spring","JM1778_Paradise_Park_Spring",3,0.3,"Mount Hood","Spring",45.34165555,-121.738599,1582.22,2.8,643,84.5,11.42,19.4,11.2,12.35,6.46,206.8,10,0.25,12,0.012,1.11,0,0.17,0.397,0.128,NA,NA,0.27,0.013,0.012,0.056,-17.32,6.6,0.41,11.3,24.2,1.98,19,0.006,1.15,36,-88.3,0,-12.3,0.45,"This spring is within a small valley on the eastern side of zigzag canyon. At first it appeared that a nearby snowpackk was the driving factor providing flow, but when we went down we saw it is definitely a large spring. It emerges from beneath a tree a a rock with a huge amount of flow. Up valley is dry with no snow pack. The vegetation is sparse here. mall shrubs. No flowers here. ",4872.9,"S",1,NA,"SW","Zigzag Region",36,1,"Qhpc","Pyroclastic flow and debris-flow deposits","Late High Cascade Volcanics","Mt. Hood Volcano","Quaternary","intermediate composition lithologies","","Precipitation","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"132","Bacteria_unclassified","MtH26_E01_S292",0,66,"The Real Buzzard Fountain","The Real Buzzard Fountain","9/17/19","MtH26_E01_S292","MtH26_E11",0,0.46,"Mount Hood","Spring",45.27652084,-121.6929596,1280.16,4.3,650.2,82.2,9.09,39.7,24,NA,7.02,306.7,23,0.5,28,NA,3.3,NA,0.4,NA,NA,12,NA,0.914,NA,NA,NA,-11.58,7,1.57,17.7,37.9,2.73,39,0.037,NA,62,-83.66,0.93,-11.9,0.09,"Spring appears the same. Returned here to sample bio, chemistry, a tritium.",10791.8,"",1,NA,"SE","Outlier",66,1,"Trbg","Rocks of Barlow Ridge and Gunsight Butte","Early High Cascade Volcanics","No data","Miocene","mixed lithologies","","Precipitation","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"133","Bacteria_unclassified","MtH9_C07_S316",0,61,"Warm Spring 2","JM-WS2","9/15/19","MtH9_C07_S316","MtH9_D06",0,0.7,"Mount Hood","Spring",45.29658328,-121.7400452,1185.672,18.2,658.6,38.4,3.09,463.1,403.2,NA,7.51,203.5,85,4.64,104,0.073,21.2,NA,4.49,32,0.2,121,NA,16.4,NA,NA,NA,-1.65,7.9,4.47,33.9,72.4,45.2,460,0.143,96.8,341,-94.3,0.63,-13.128,0.119,"Hiked upstream. Eventually came to the main emergence. Large (4') diameter pool from uer a rock. Thorny plants are nearby a along stream. I think this is MS-9 on Wollenberg's paper.",9229.6,"",1,NA,"SW","Warm Springs",61,1,"Qhpc","Pyroclastic flow and debris-flow deposits","Late High Cascade Volcanics","Mt. Hood Volcano","Quaternary","intermediate composition lithologies","","Glacier Meltwater","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"134","Bacteria_unclassified","MtH27_E02_S294",0,63,"Warm Spring 4","JM-WS4","9/16/19","MtH27_E02_S294","MtH28_F02",0,0.73,"Mount Hood","Spring",45.29641312,-121.738493,1165.5552,24.7,660.6,9.3,0.65,1144,1137,NA,7.4,209.1,158,11.9,193,0.26,57.5,NA,11.75,137,NA,337,NA,46.9,NA,NA,NA,-0.62,8.1,10.1,41.6,89.1,110,1120,0.369,232,780,-98.63,0.34,-13.702,0.092,"This is the same sample as the ""screen springs"" from the Wollenberg paper. There is a screen in the stream just downsteam from the emergence. There is a bunch of what looks like calcite precipitating onto the rocks in all of these warm springs. The rocks have calcite ~4"" above the current stream height. I think this iicates a change in water level depeing on the time of year. Red bricks were also in the stream channel.",9202.4,"",1,NA,"SW","Warm Springs",63,1,"Qhtc","Pyroclastic flow and debris-flow deposits","Late High Cascade Volcanics","Mt. Hood Volcano","Quaternary","intermediate composition lithologies","","Glacier Meltwater","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
