sample_number,alt_sample_name,sample_name,date,ncbi_name_16s,ncbi_name_18s,bio_rep,fi_best,location,sample_type,latitude,longitude,elevation_m,ysi_temp,ysi_mmhg,ysi_do_percent,ysi_do,ysi_spc,ysi_conductivity,ysi_tds,ysi_ph,ysi_orp,alkalinity_caco3,anions,bicarbonate_hco3,bromide,calcium,carbonate_co3_alkalinity,cations,chloride,fluoride,hardness,iron,magnesium,nitrate_no3,nitrite_no2,orthophosphate,percent_difference,ph,potassium,silicon,sio2,sodium,spc,strontium,sulfate,tds,d2h,d2h_unc,d18o,d18o_unc,notes,dist_from_summit,aspect,bio_data,d13c (of DIC),quadrant,quadrant_ew,region,order,chemistry,geo_symbol,geo1,geo2,geo3,geo4,geo5,unit_notes
11,Highline Trail Waterfall,Highline Trail Waterfall Stream,8/9/17,,,,0.47,GNP,Stream,48.70857999,-113.7159064,1964.44,10.1,615.4,78,8379,69.7,50.3,46.8,7.84,157.3,49,1.19,60,0.005,15.4,0,1.09,0.073,0.015,,,3.35,0.092,0.013,0.036,-4.26,7.6,0.19,1.12,2.4,1.04,112,0.022,9.41,62,-125,0,-16.59,0.18,"The source of this is unkown. Sampling chlorine 36, tritium, strontium, gen chem anyway. Look up the source on imagery. It has a very general SPC a temp, so it's hard to tell anything from this location without being able to see the emergence. The water is flowing from a series of very high a steep cliffs. Vegetation is thick here too. Purple a yellow flowers a those strong tree bush things.",,,0,,,,Stream,99,1,Yh,Stream,Belt Supergroup,Middle Proterozoic,Middle Proterozoic,Middle Proterozoic,"thickness ranges from 750 m in most of park to a maximum of about 1,030 m in southwestern part; generally subdivisible into three parts at most exposures in park"
39,Piegan North Spring,Piegan North Spring,7/26/18,,,,0.32,GNP,Spring,48.71661358,-113.6941217,2389.02,1.7,586.5,76.4,10.63,68.8,38.3,44.85,7.97,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,-128.75,0.25,-17.11,0.07,"Spring samples collected 1 250mL, 1L, bio sample, isotope, CFC. Distinct spring emergence with no upslope daylighting.",,,0,,,,Piegan Region,128,0,Yh,Helena Formation,Belt Supergroup,Middle Proterozoic,Middle Proterozoic,Middle Proterozoic,"thickness ranges from 750 m in most of park to a maximum of about 1,030 m in southwestern part; generally subdivisible into three parts at most exposures in park"
49,Eliot Glacier Catchment - Glacial Ice,Eliot Glacier Catchment - Glacial Ice,7/20/18,,,,0.23,MH,Snow,45.3853762,-121.6712156,2103.12,0,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,-87.22,0.28,-12.678,0.108,Collected 3 bags of ice a let it melt. Put into 1L nalgene bottles once we hiked out of the catchment.,2341.2,N,0,,NE,East,Snow,49,0,glacier,Snow and ice,Quaternary surficial deposits,Glacial deposits,Holocene,ice,
41,Eliot Glacier Catchment - Snow 1,Eliot Glacier Catchment - Snow 1,7/20/18,,,,0.22,MH,Snow,45.38535582,-121.6710117,2061.3624,0,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,-84.61,0.65,-11.724,0.091,"Collected 1 bag, 2 feet in depth of snowpack. Overall there was much less snowpack this year than last. Many more crevasses as well. Rock felt more loose than before too.",2353.2,N,0,,NE,East,Snow,41,0,glacier,Snow and ice,Quaternary surficial deposits,Glacial deposits,Holocene,ice,
46,Eliot Glacier Catchment - Surface Snow/Algae,Eliot Glacier Catchment - Surface Snow/Algae,7/20/18,,,,0.34,MH,Snow Algae,45.38535582,-121.6710117,2061.3624,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88.41,0.49,-12.103,0.116,Same GPS location as snow-1,2353.2,N,0,,NE,East,Snow Algae,46,0,glacier,Snow and ice,Quaternary surficial deposits,Glacial deposits,Holocene,ice,
41,Hidden Pass Seep 2,Hidden Pass Seep 2,7/28/18,,,,0.24,GNP,Spring,48.6880162,-113.7366239,2166.52,7.4,600.4,81.7,9.89,63.2,42,40.95,6.93,109.7,,,,,,,,,,,,,,,,,,,,,,,,,,-125.44,0.37,-16.91,0.07,"Collected CFC slightly south along seepage face bc we needed a gradient. Collected 1L, 250mL, bio, a isotope at the same emergence as last year.",,,0,,,,Clements/Reynolds Region,130,0,Ysn,Snowslip Formation,Belt Supergroup,Middle Proterozoic,Middle Proterozoic,Middle Proterozoic,"at type section at Snowslip Mountain in southern part of park, the Snowslip is informally subdivided into six members designated 1 through 6 in ascending order; members are not mapped separately but can be recognized in exposures throughout park"
75,Eliot Ice Climbers Glacier,Eliot Ice Climbers Glacier,9/19/19,,,,0.86,MH,Glacial Ice,45.37851581,-121.6874439,2669.7432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.28,0.77,-13.759,0.16,Gave 4 250mL bottles to some ice climbers at Cloud Cap Campgrou. They returned 2 bottles with a few mL's of glacial ice a 1 bottle with a few mL of snow.,864.7,,0,,NE,East,Glacial Ice,75,0,glacier,Snow and ice,Quaternary surficial deposits,Glacial deposits,Holocene,ice,
76,Eliot Ice Climbers Snow,Eliot Ice Climbers Snow,9/19/19,,,,0,MH,Snow,45.37851581,-121.6874439,2669.7432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89.56,0.65,-12.614,0.068,Gave 4 250mL bottles to some ice climbers at Cloud Cap Campgrou. They returned 2 bottles with a few mL's of glacial ice a 1 bottle with a few mL of snow.,864.7,,0,,NE,East,Snow,76,0,glacier,Snow and ice,Quaternary surficial deposits,Glacial deposits,Holocene,ice,
26,Eliot Moraine Seep,Eliot Moraine Seep,7/22/17,,,,0.83,MH,Spring,45.39301803,-121.6519881,1805.94,,,,,,,,,,11,0.24,14,0.007,1.4,0,0.17,0.22,0.016,,,0.14,,0.01,0.044,-15.6,6.7,0.94,11.9,25.4,1.54,18,0.013,0.302,37,-100.4,0.51,-13.77,0.19,I saw large seeps on google earth in a moraine near Eliot Spring. They were persistent from imagery. Upon arrival we noticed that they were seeps on nearly the same elevation on either side of the valley. It look like the valley was eroded out by surface water/rivers a now the seeps are located on either side. We hiked in a it was scary. Very loose rock a unconsolidated. The place we sampled was a seepage face on the left side of the valley looking down elevation from the top of the catchment opening. Flow channelized through the bottom of the valley a joined snow melt from above in a huge stream. There was alot of snow pack uer sediment on the southern slope. We saw a huge boulder crash down that slope. There was a big spring seep on that side too. It looked like it may have been burried glacial ice. That side was too dangerous to access.,4066.8,N,0,-13.1,NE,East,Eliot Region,26,1,Qhpc,Pyroclastic flow and debris-flow deposits,Late High Cascade Volcanics,Mt. Hood Volcano,Quaternary,intermediate composition lithologies,
88,Eliot Terminus Center Snowpack - Algae,Eliot091919C - Algae,9/19/19,,,,0.29,MH,Snow Algae,45.39357369,-121.6632686,1894.9416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80.52,0.67,-10.846,0.164,No YSI. Solid snow. Collected both surface (algae) snow a below. Looked like snowpack from the previous year.,3391.1,,0,,NE,East,Snow Algae,88,0,glacier,Snow and ice,Quaternary surficial deposits,Glacial deposits,Holocene,ice,
15,Fresh Snow Lower Eliot Glacier,Eliot Glacier Fresh Snow Lower,7/22/17,,,,0.63,MH,Snow,45.38526896,-121.6697363,2123.85,0,,,,,,,,,4,0.09,5,,0.05,0,0.01,0.214,0.006,,,0.03,0.012,0.009,0.039,-73.37,5.8,0.07,0.04,0.09,0.17,3,0,0.06,3,-96.1,0.15,-12.84,0.04,"Hiked in from Cloud Cap Campgrou. Trail was washed out. Took moraine trail in. The moraine was very recently scoured from the recent snow. The moaine was missing Jeff a my trail. We tried to collect glacier ice from where I get snow algae normally but there was so much snow pack. We looked into a crevasse that went down ~4ft a it was all snow. The whole glacier is covered in snow but there are many crevasses present. We could hear a channel of water uer the snow pack. It's loud. The waterfall was gone too. Bees, flies, hummingbirds, skiers present.",2431.8,N,0,,NE,East,Snow,15,1,glacier,Snow and ice,Quaternary surficial deposits,Glacial deposits,Holocene,ice,
4,Marty 2 (Eliot glacier ice),Eliot Glacier Glacial Ice,7/30/16,,,,0.86,MH,Glacial Ice,45.38553654,-121.6710713,2119.884,0,,,,,,,,,7,0.17,9,,0.192,,0.02,0.081,,0.565,,,,,,-77.61,5.8,0.161,,,0.147,5,,,6,-106.221176,0.5631925,-14.223429,0.2540207,"Used ice axe to break off ~1.5 ft of ice exposed at a subglacial flow. Waited until ice melted in baggies, then transported it to bottles.",2360.6,N,0,,NE,East,Glacial Ice,4,1,glacier,Snow and ice,Quaternary surficial deposits,Glacial deposits,Holocene,ice,
44,Sherwood Camp Spring,Sherwood Camp Spring,7/20/18,,,,0.46,MH,Spring,45.39485075,-121.5702804,965.9112,,,,,,,,,,34,0.74,42,,5.05,,0.57,,,19.2,,1.6,,,,-13.67,7.3,0.931,16.3,34.8,3.63,56,0.046,,69,-92.39,0.83,-12.436,0.144,"Collected 2 1L, a 250mL, a a bio sample. It used to be piped into sherwood campgrou, but the EPA shut down all water sources in the campgrous. This one they just cut the pipe a it's freely flowing to the grou out of the pipe. There were some small seeps of water above the pipe, but it seemed like the majority of water was being funnled through the pipe. It was situated in a rocky drainage.",10125.4,N,0,,NE,East,Outlier,44,1,Qal,Alluvium,Quaternary surficial deposits,Alluvial deposits,Holocene,mixed grained sediments,
16,Subglacial Melt Eliot Glacier,Eliot Glacier Subglacial Melt,7/22/17,,,,0.92,MH,Glacial Melt,45.38931287,-121.6683895,2046.43,,,,,,,,,,4,0.1,5,0.016,0.36,0,0.03,0.081,0.01,,,0.08,0.014,0.012,0.045,-55.05,5.6,0.02,0.8,1.71,0.11,5,0.001,0.579,6,-102.9,0.59,-14.3,,Farther down the catchment we got some meltwater. We think this would be good for strontium because we can compare it to the other springs here,2779.6,N,0,,NE,East,Glacial Ice,16,1,glacier,Snow and ice,Quaternary surficial deposits,Glacial deposits,Holocene,ice,
51,Surface Snow Eliot,Surface Snow Eliot,7/20/18,,,,0.36,MH,Snow,45.38547518,-121.6712133,2102.8152,0,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,-82.84,0.67,-11.431,0.066,"This looks like it may have been glacial ice, a it began melting. So, this may be an integration of both snow a ice.",2347.5,N,0,-20.9,NE,East,Snow,51,0,glacier,Snow and ice,Quaternary surficial deposits,Glacial deposits,Holocene,ice,
29,Lolo Spring,Lolo Spring,7/25/17,JM1724_Lolo_Spring,JM1724_Lolo_Spring,0,0.28,MH,Spring,45.49070234,-121.754485,686.71,5.3,711.1,89.1,11.3,39.4,24.5,24.05,6.38,245.4,24,0.52,30,0.027,3.77,0,0.42,0.821,0.014,,,1.22,0.019,0.009,0.073,-10.13,6.8,0.72,11.2,23.9,2.62,43,0.026,0.194,48,-80.1,0.25,-11.55,0.13,"Fou it exactly where the USGS point was. Lots of flow. Looks like it's coming from a contact. Flow comes out of a plane of rock along side the road. Lots of moss a shrubs along the seepage face. Also rock is present here too. Stream forms alongside the road but majority flows uer the road. Zach did discharge on the stream on the other side of the road. There are also rasperries, red berries, white daisies, 2 kis of purple flowers, yellow flowers, a ferns present.",13796,N,1,,NW,West,Outlier,29,1,Qbr,Basaltic andesite of Blue Ridge,Late High Cascade Volcanics,Cascade Platform Lavas,Quaternary,basaltic andesite,
55,Lolo Spring,Lolo Spring,7/17/18,,,,0.15,MH,Spring,45.49070234,-121.754485,686.7144,5.3,712.6,91.2,11.51,41.8,26,27.3,6.17,157.6,,,,,,,,,,,,,,,,,,,,,,,,,,-80.21,0.51,-11.509,0.063,"Also collected 1L, 2 250mL samples",13796,N,0,,NW,West,Outlier,55,0,Qbr,Basaltic andesite of Blue Ridge,Late High Cascade Volcanics,Cascade Platform Lavas,Quaternary,basaltic andesite,
71,White River Glacier Outwash,White River Glacier Outwash,9/18/19,,MtH1_C10,0,0.51,MH,Stream,45.30433601,-121.6734931,1298.1432,9.1,648.9,94,9.23,84,57.5,,7.93,231.8,33,1.14,40,,7.51,,1.06,6.67,0.11,32.3,,3.29,,,,-3.78,7.3,0.869,12.8,27.4,8.91,110,0.043,13.3,88,-91.26,0.56,-12.765,0.057,"At the location where the White River Glacier Runoff meets the bridge on 35. Thougth is that if we can't sample the glacial melt, this is the closest we can do. There has been a lot of precip over the past week so this drainage is likely draining a large portion of runoff from rain/snow at the time of sampling.",7897.4,,1,,SE,East,Far Stream,71,1,Qal,Alluvium,Quaternary surficial deposits,Alluvial deposits,Holocene,mixed grained sediments,
31,Near NF 3540,NF 3540 Spring,7/24/17,,,,0.28,MH,Spring,45.30345497,-121.6077977,1341.12,6.8,659.7,74.4,9.15,77.1,50,50.05,7.28,215.6,27,0.57,33,0.016,4.9,0,0.42,0.586,0.043,,,0.85,0.015,0.017,0.02,-14.25,6.9,0.38,9.91,21.2,2.3,45,0.035,0.545,47,-86.7,0.41,-12.14,0.25,,10419.7,S,0,,SE,East,Outlier,31,1,Trbg,Rocks of Barlow Ridge and Gunsight Butte,Early High Cascade Volcanics,No data,Miocene,mixed lithologies,
64,Meadows Spring,JM-Meadows1,9/16/19,MtH25_D12_S290,MtH25_E10,0,0.53,MH,Spring,45.33607449,-121.6711186,1699.26,6.3,616.4,93,9.3,363.1,233.6,,7.63,186.6,90,3.69,110,0.058,24.9,,3.54,43.4,,119,,13.7,,,,-2.09,7.8,3.61,23.4,50,24.8,364,0.167,31.1,247,-93.21,0.34,-13.029,0.144,Hiked up from Meadows Ski Area. Several streams drain into the meadow's catchment. Followed one up a to the left. Spring is emerging from base of rock. The flow is strong. Seems to be flowing uer soil/root coverage. Caelum sawa a rodent from a nearby hole. Caddisfly was also spotted.,4603.8,,1,-5.4,SE,East,Warm Springs,64,1,Qha,Andesite and dacite lava,Late High Cascade Volcanics,Mt. Hood Volcano,Quaternary,andesite,
74,Clark Creek at 35,Clark Creek at 35,9/18/19,,MtH22_E07,0,0.72,MH,Stream,45.32056277,-121.6096881,1258.2144,9,652.5,94.5,9.39,61.5,42.8,,7.89,213.4,36,0.83,43,,5.84,,0.71,,,25,,2.52,,,,-7.38,7.7,0.983,13.9,29.6,4.34,71,0.037,5.13,70,-95.32,0.94,-13.099,0.154,Stream sample. Collected because we can't access Newton-Clark Glacier. Stream sampled on downstream side of bridge a culvert.,8972.1,,1,,SE,East,Far Stream,74,1,Qal,Alluvium,Quaternary surficial deposits,Alluvial deposits,Holocene,mixed grained sediments,
74,Clark Creek at 35,Clark Creek at 35,9/18/19,,MtH23_E08,1,0.72,MH,Stream,45.32056277,-121.6096881,1258.2144,9,652.5,94.5,9.39,61.5,42.8,,7.89,213.4,36,0.83,43,,5.84,,0.71,,,25,,2.52,,,,-7.38,7.7,0.983,13.9,29.6,4.34,71,0.037,5.13,70,-95.32,0.94,-13.099,0.154,Stream sample. Collected because we can't access Newton-Clark Glacier. Stream sampled on downstream side of bridge a culvert.,8972.1,,1,,SE,East,Far Stream,74,1,Qal,Alluvium,Quaternary surficial deposits,Alluvial deposits,Holocene,mixed grained sediments,
1,Bell Spring,Bell Spring,10/10/16,JM165_Bell_45,,1,0.65,MH,Spring,45.24085857,-121.5045804,1259.7384,5.6,664.1,64.7,8.14,51.1,32.2,33.15,5.98,319.6,34,0.72,42,,5.43,,0.61,,,24.8,,2.74,,,,-7.9,6.7,0.373,,22.6,2.47,59,0.064,,56,-95.03914,0.6283635,-13.310051,0.1106964,,21047.5,S,1,,SE,East,Outlier,1,1,QTbg,Basaltic andesite of Grasshopper Point,Late High Cascade Volcanics,Cascade Platform Lavas,Quaternary,basaltic andesite,
1,Bell Spring,Bell Spring,10/10/16,JM169_Bell_20,,2,0.65,MH,Spring,45.24085857,-121.5045804,1259.7384,5.6,664.1,64.7,8.14,51.1,32.2,33.15,5.98,319.6,34,0.72,42,,5.43,,0.61,,,24.8,,2.74,,,,-7.9,6.7,0.373,,22.6,2.47,59,0.064,,56,-95.03914,0.6283635,-13.310051,0.1106964,,21047.5,S,1,,SE,East,Outlier,1,1,QTbg,Basaltic andesite of Grasshopper Point,Late High Cascade Volcanics,Cascade Platform Lavas,Quaternary,basaltic andesite,
18,Bell Spring,Bell Spring,7/26/17,JM172_Bell_Spring,,1,0.64,MH,Spring,45.24085857,-121.5045804,1259.74,5.6,666.9,68.3,8.56,50,31.5,32.5,6.87,193.7,29,0.61,36,0.014,4.67,0,0.54,0.634,0.008,,,2.43,0.08,0.013,0.038,-6.26,6.9,0.31,9.15,19.6,2.26,52,0.062,0.179,48,-94.6,,-13.09,,Sampled just as we did in Oct 16. Same location. Same location for discharge as well.,21047.5,S,1,,SE,East,Outlier,18,1,QTbg,Basaltic andesite of Grasshopper Point,Late High Cascade Volcanics,Cascade Platform Lavas,Quaternary,basaltic andesite,
18,Bell Spring,Bell Spring,7/26/17,JM1716_Bell_Spring,JM1716_Bell_Spring,2,0.64,MH,Spring,45.24085857,-121.5045804,1259.74,5.6,666.9,68.3,8.56,50,31.5,32.5,6.87,193.7,29,0.61,36,0.014,4.67,0,0.54,0.634,0.008,,,2.43,0.08,0.013,0.038,-6.26,6.9,0.31,9.15,19.6,2.26,52,0.062,0.179,48,-94.6,,-13.09,,Sampled just as we did in Oct 16. Same location. Same location for discharge as well.,21047.5,S,1,,SE,East,Outlier,18,1,QTbg,Basaltic andesite of Grasshopper Point,Late High Cascade Volcanics,Cascade Platform Lavas,Quaternary,basaltic andesite,
66,The Real Buzzard Fountain,The Real Buzzard Fountain,9/17/19,MtH26_E01_S292,MtH26_E11,0,0.46,MH,Spring,45.27652084,-121.6929596,1280.16,4.3,650.2,82.2,9.09,39.7,24,,7.02,306.7,23,0.5,28,,3.3,,0.4,,,12,,0.914,,,,-11.58,7,1.57,17.7,37.9,2.73,39,0.037,,62,-83.66,0.93,-11.9,0.09,"Spring appears the same. Returned here to sample bio, chemistry, a tritium.",10791.8,,1,,SE,East,Outlier,66,1,Trbg,Rocks of Barlow Ridge and Gunsight Butte,Early High Cascade Volcanics,No data,Miocene,mixed lithologies,
30,Lookout Spring,Lookout Spring,7/24/17,JM1732_Lookout_Spring,,0,0.5,MH,Spring,45.34168678,-121.5353312,1680.06,5.6,633.5,76.6,9.59,34.4,22.5,22.75,6.98,230.7,17,0.38,21,0.008,2.78,0,0.31,0.582,0.016,,,0.65,0.021,0.014,0.097,-10.2,6.9,0.96,11.3,24.2,2.06,31,0.025,0.322,42,-91,0.52,-12.92,0.29,Spring emerging from side.,13079.3,S,1,,SE,East,Outlier,30,1,Tlma,Andesite,Early High Cascade Volcanics,No data,Miocene,mixed lithologies,
9,Near NF 3540,NF 3540 Spring,10/10/16,JM164_Near_NF_45,,1,0.07,MH,Spring,45.30352945,-121.608,1341.12,5.6,657.7,69.5,8.75,33.2,20.9,21.45,5.63,282.6,22,0.48,27,,4.39,,0.38,,,14.3,,0.8,,,,-11.18,6.1,0.369,,7.17,2.06,39,0.038,,30,-77.259454,0.6262412,-11.135095,0.1130419,,10403,S,1,,SE,East,Outlier,9,1,Trbg,Rocks of Barlow Ridge and Gunsight Butte,Early High Cascade Volcanics,No data,Miocene,mixed lithologies,
9,Near NF 3540,NF 3540 Spring,10/10/16,JM1613_Near_NF_20,,2,0.07,MH,Spring,45.30352945,-121.608,1341.12,5.6,657.7,69.5,8.75,33.2,20.9,21.45,5.63,282.6,22,0.48,27,,4.39,,0.38,,,14.3,,0.8,,,,-11.18,6.1,0.369,,7.17,2.06,39,0.038,,30,-77.259454,0.6262412,-11.135095,0.1130419,,10403,S,1,,SE,East,Outlier,9,1,Trbg,Rocks of Barlow Ridge and Gunsight Butte,Early High Cascade Volcanics,No data,Miocene,mixed lithologies,
19,Buzzard Fountain 1,Buzzard Fountain Spring,7/26/17,JM1717_Buzzard_Fountain,JM1717_Buzzard_Fountain,1,0.5,MH,Spring,45.27743485,-121.6933848,1245.41,8.5,668.5,81.6,9.53,31,21.2,20.15,6.98,183,28,0.59,34,0.001,2.73,0,0.33,0.712,0.007,,,0.7,0.048,0.012,0.117,-27.84,7,1.44,15,32.1,2.37,29,0.034,0.293,58,-83.9,,-12.04,0.04,"Lots of flow coming directly from fountain. It is piped through. Fills up a pool. Note on tree saying ""water not treated"". People came a drank from it anyway. Lots of moss growing. Filtered from the ""source"". It looks like the emergence used to be to the right, but then after the spring box was built the flow preferentially went there. That is where the rocks were taken from, the paleoemergence.",10689.6,S,1,,SE,East,Outlier,19,1,Trbg,Rocks of Barlow Ridge and Gunsight Butte,Early High Cascade Volcanics,No data,Miocene,mixed lithologies,
19,Buzzard Fountain 2,Buzzard Fountain Spring,7/26/17,JM1776_Buzzard_Fountain,JM1776_Buzzard_Fountain,2,0.5,MH,Spring,45.27743485,-121.6933848,1245.41,8.5,668.5,81.6,9.53,31,21.2,20.15,6.98,183,28,0.59,34,0.001,2.73,0,0.33,0.712,0.007,,,0.7,0.048,0.012,0.117,-27.84,7,1.44,15,32.1,2.37,29,0.034,0.293,58,-83.9,,-12.04,0.04,"Lots of flow coming directly from fountain. It is piped through. Fills up a pool. Note on tree saying ""water not treated"". People came a drank from it anyway. Lots of moss growing. Filtered from the ""source"". It looks like the emergence used to be to the right, but then after the spring box was built the flow preferentially went there. That is where the rocks were taken from, the paleoemergence.",10689.6,S,1,,SE,East,Outlier,19,1,Trbg,Rocks of Barlow Ridge and Gunsight Butte,Early High Cascade Volcanics,No data,Miocene,mixed lithologies,
21,Camp Windy,Camp Windy Spring,7/24/17,JM171_Camp_Windy,,0,0.3,MH,Spring,45.29005317,-121.5837558,1667.26,7.7,634.9,78.4,9.34,27.9,18.7,18.2,7.25,200.1,17,0.37,21,0.003,3.2,0,0.3,0.581,0.009,,,0.42,0.032,0.01,0.044,-10.03,6.9,1.18,9.3,19.9,1.73,31,0.024,0.244,38,-83.3,0.85,-11.99,0.16,Seepy a flowing with moss all arou. Very diffuse over a huge area. Flies everywhere.,12792,S,1,,SE,East,Outlier,21,1,Trbg,Rocks of Barlow Ridge and Gunsight Butte,Early High Cascade Volcanics,No data,Miocene,mixed lithologies,
7,Near Camp Windy,Camp Windy Spring,10/10/16,JM162_Camp_Windy_45,,1,0.32,MH,Spring,45.2899995,-121.5837826,1667.256,4.6,631.9,69.2,8.93,27.4,16.7,17.55,6.19,311.6,20,0.44,25,,3.62,,0.32,,,11,,0.466,,,,-15.42,6.4,1.11,,17.7,1.75,34,0.025,,38,-84.751736,0.6276218,-12.1683,0.07554986,,12794.9,S,1,,SE,East,Outlier,7,1,Trbg,Rocks of Barlow Ridge and Gunsight Butte,Early High Cascade Volcanics,No data,Miocene,mixed lithologies,
7,Near Camp Windy,Camp Windy Spring,10/10/16,JM167_Camp_Windy_20,,2,0.32,MH,Spring,45.2899995,-121.5837826,1667.256,4.6,631.9,69.2,8.93,27.4,16.7,17.55,6.19,311.6,20,0.44,25,,3.62,,0.32,,,11,,0.466,,,,-15.42,6.4,1.11,,17.7,1.75,34,0.025,,38,-84.751736,0.6276218,-12.1683,0.07554986,,12794.9,S,1,,SE,East,Outlier,7,1,Trbg,Rocks of Barlow Ridge and Gunsight Butte,Early High Cascade Volcanics,No data,Miocene,mixed lithologies,
36,Elizabeth Spring,Piegan Spring,7/26/18,,,,0.97,GNP,Spring,48.70314771,-113.6939869,2368.3,0.5,588.2,77.4,11.14,37,19.6,24.05,7.89,154.7,,,,,,,,,,,,,,,,,,,,,,,,,,-139.97,0.29,-18.84,0.06,"Spring emerges from cave that extes 10-15 feet back. We crawled back a used hiking poles to exte tubing as far back as possible. Collected 1 250mL, 1L, 3CFC, bio, isotope.",,,0,,,,Piegan Region,125,0,Ysn,Snowslip Formation,Belt Supergroup,Middle Proterozoic,Middle Proterozoic,Middle Proterozoic,"at type section at Snowslip Mountain in southern part of park, the Snowslip is informally subdivided into six members designated 1 through 6 in ascending order; members are not mapped separately but can be recognized in exposures throughout park"
33,Palmer B Spring 1,Palmer B Spring,7/23/17,JM1719_Palmer_B,JM1719_Palmer_B,1,0.41,MH,Spring,45.35311155,-121.6494124,1677.01,3.3,635.5,71.9,9.62,18.3,10.7,11.7,6.66,241.8,13,0.27,15,0.007,1.75,0,0.2,0.237,0.032,,,0.13,0.013,0.012,0.055,-14.27,6.9,0.42,10.7,22.9,2.1,20,0.014,0.195,36,-97.6,0.33,-13.51,0,"Zach did 10mg of salt for the meter in the 500 mL bottle. Hike in on Newton Trail, then take Timberline Trail. The hill we sample on is a pyroclastic flow. There are numerous holes, almost karst-like on the slope. There is thick vegetation a lots of down pine trees. The spring we sampled from is a hole, but there are two additional exits south, slightly left of the spring. There are yellow flowers a white, lots of green leafy plants too. Zach took discharge downslope where a bunch of these karst like springs all combine a form a stream.",4302,S,1,-12.2,SE,East,Outlier,33,1,Qhpc,Pyroclastic flow and debris-flow deposits,Late High Cascade Volcanics,Mt. Hood Volcano,Quaternary,intermediate composition lithologies,
33,Palmer B Spring 2,Palmer B Spring,7/23/17,JM1756_Palmer_B,,2,0.41,MH,Spring,45.35311155,-121.6494124,1677.01,3.3,635.5,71.9,9.62,18.3,10.7,11.7,6.66,241.8,13,0.27,15,0.007,1.75,0,0.2,0.237,0.032,,,0.13,0.013,0.012,0.055,-14.27,6.9,0.42,10.7,22.9,2.1,20,0.014,0.195,36,-97.6,0.33,-13.51,0,"Zach did 10mg of salt for the meter in the 500 mL bottle. Hike in on Newton Trail, then take Timberline Trail. The hill we sample on is a pyroclastic flow. There are numerous holes, almost karst-like on the slope. There is thick vegetation a lots of down pine trees. The spring we sampled from is a hole, but there are two additional exits south, slightly left of the spring. There are yellow flowers a white, lots of green leafy plants too. Zach took discharge downslope where a bunch of these karst like springs all combine a form a stream.",4302,S,1,-12.2,SE,East,Outlier,33,1,Qhpc,Pyroclastic flow and debris-flow deposits,Late High Cascade Volcanics,Mt. Hood Volcano,Quaternary,intermediate composition lithologies,
34,Palmer Meadow Seep,Palmer Meadow Seep,7/23/17,,,,0.47,MH,Spring,45.33171151,-121.6324631,1410,11.2,655.6,77,8.17,43.4,33.5,28.6,7.81,153.6,15,0.32,18,0.004,2.22,0,0.25,0.501,0.022,,,0.27,0.015,0.012,0.03,-13.04,6.7,0.59,11.6,24.9,2.36,26,0.029,0.248,40,-88.5,0.54,-12.4,0.14,"Tried to fi Palmer Spring (USGS point), no luck. On the hike in along the trail I crossed a few streams a marked them in case we needed to follow them up to the source. When we tried to fi Palmer Spring, we decided to walk towards ""spring run"" in the GPS. We eed up at a flat spot in a meadow a fou a large seepage face. There was channelized flowing water too. We sampled from a flowing pool of wter. There was moss a we were in a soily zone. Purple flowers a lots of flies. Probably channelized together channelized quickly from these seeps. We forgot to record ysi readings at the site, so we just recorded it at the stream on the trail because that was the same water.",6816.3,S,0,,SE,East,Outlier,34,1,Qhpc,Pyroclastic flow and debris-flow deposits,Late High Cascade Volcanics,Mt. Hood Volcano,Quaternary,intermediate composition lithologies,
11,Palmer-B Spring,Palmer B Spring,10/9/16,JM1614_Palmer_B_45,,2,0.72,MH,Spring,45.3531396,-121.6495011,1677.0096,3.6,631.3,77.4,10.27,16.6,9.8,11.05,6.22,310.3,15,0.33,18,,1.76,,0.21,,,4.93,,0.131,,,,-22.28,6.6,0.39,,24.4,2.35,21,0.012,,39,-96.917744,0.3854594,-13.625641,0.09734301,,4294.5,S,1,,SE,East,Outlier,11,1,Qhpc,Pyroclastic flow and debris-flow deposits,Late High Cascade Volcanics,Mt. Hood Volcano,Quaternary,intermediate composition lithologies,
